"id","EnterpriseID","LAST","FIRST","MIDDLE","SUFFIX","DOB","GENDER","SSN","ADDRESS1","ADDRESS2","ZIP","MOTHERS_MAIDEN_NAME","MRN","CITY","STATE","PHONE","EMAIL","ALIAS","MIDINIT","M","D","Y","Weight"
"47","2211","15891939","MIESNER","MABEL","SHIRLEY","","12/28/1945","F","833-43-5893","1270 GERARD AVE","1F","10452","","1008375","BRONX","NY","484-119-3385","MMIESNER@AMGGT.COM","","S","12","28","1945","0.6868677"
"48","","","","","","","","","","","","","","","","","","","","","","","",""
"49"," 553","15565388","ROGERS","ROY","ERNESTO","","10/8/1948","M","","2730 DECATUR AVE","11F","10458","COLVIN","4773422","BRONX","NY","959-112-3094","RROGERS@AMGGT.COM","","E","10","8","1948",""
"50","2104","15875499","ROGERS","ROY","ERNESTO","","5/24/1922","M","893-52-3965","2730 DECATUR AVE","11F","10458","","4773410","BRONX","NY","959-112-3094","","","E","5","24","1922","0.6843711"
"51","","","","","","","","","","","","","","","","","","","","","","","",""
"52","1269","15559138","WILSON","JULIAN","RICHARD","","12/2/2013","M","","16315 130TH AVE","1G","11434","SMITH"," 849965","JAMAICA","NY","","JWILSON@AMGGT.COM","","R","12","2","2013",""
"53","2810","15938363","WILSON","JESUS","RICHARD","","12/2/2013","M","","16315 130TH AVE","1G","11434",""," 847952","JAMAICA","NY","516-997-1587","","","R","12","2","2013","0.6829855"
"54","","","","","","","","","","","","","","","","","","","","","","","",""
"55"," 814","15691211","MUNIZ","MIGUEL","AHMED","","10/19/1994","M","803-23-7659","281 E 153RD ST","1D","10451","","1124804","BRONX","NY","267-573-6352","","","A","10","19","1994",""
"56","2363","15789516","MUNIZ","MIGUEL","A","","12/14/2013","M","","281 E 153RD ST","1D","10451","BOWDEN","1124651","BRONX","NY","267-573-6352","MMUNIZ@AMGGT.COM","","A","12","14","2013","0.6825040"
"57","","","","","","","","","","","","","","","","","","","","","","","",""
"58"," 629","15461615","SALAZAR","ESUBALEW","","","10/15/2016","M","","1689 RANDALL AVE","2B","10473","HILL","4781342","BRONX","NY","718-518-5486","ESALAZAR@AMGGT.COM","","","10","15","2016",""
"59","2180","15933792","SALAZAR","ESUBALEW","","","10/15/2012","M","","1689 RANDALL AVE","2B","10473","","4781327","BRONX","NY","718-518-5486","","","","10","15","2012","0.6820450"
"60","","","","","","","","","","","","","","","","","","","","","","","",""
"61"," 728","15383121","PYLANT","AKIRA","MAYNARD","","9/29/1938","M","","2333 WEBSTER AVE","6C","10458","","1129300","BRONX","NY","347-535-5391","","","M","9","29","1938",""
"62","2278","15472979","PYLANT","AKIRA","MAYNARD","","10/9/1967","M","863-47-2749","2333 WEBSTER AVE","6C","10458","","1129047","BRONX","NY","347-535-5391","APYLANT@AMGGT.COM","","M","10","9","1967","0.6800572"
"63","","","","","","","","","","","","","","","","","","","","","","","",""
"64"," 616","15674275","PACHECO","QUENTIN","COURTNEY","","12/2/1958","M","895-88-7598","7133 72 AVE","PVT","11385","","4795275","GLENDALE","NY","929-586-4356","","","C","12","2","1958",""
"65","2167","15889068","PACHECO","QUENTIN","C","","12/2/1968","M","895-88-7596","71 33 72ND","1FL","11385","","4795287","GLENDALE","NY","","","","C","12","2","1968","0.6761758"
"66","","","","","","","","","","","","","","","","","","","","","","","",""
"67","1353","15490139","IRBY","TOLLIVERCOLE","KENNETH","","12/25/2003","M","894-81-6180","321 E 153RD ST","14H","10451",""," 827417","BRONX","NY","","","","K","12","25","2003",""
"68","2885","15688213","IRBY","MATTHEW","KENNETH","","12/25/2003","M","","321 E 153RD ST","14H","10451",""," 832661","BRONX","NY","516-824-8280","","","K","12","25","2003","0.6741774"
"69","","","","","","","","","","","","","","","","","","","","","","","",""
"70"," 604","15717983","TUNKARA","WILLIAM","A","II","4/8/1964","M","850-58-0316","520 W 163RD ST","A3","10032","","4865233","NEW YORK","NY","570-972-1843","","","A","4","8","1964",""
"71","2155","15829100","TUNKARA","WILLIAM","A","","10/18/1940","M","","520 W 163RD ST","B3","10032","","4865239","NEW YORK","NY","570-972-1843","","WILLIAM A TUNKARA","A","10","18","1940","0.6740167"
"72","","","","","","","","","","","","","","","","","","","","","","","",""
"73"," 505","15393093","COLTON","SANAE","Y","","7/7/2009","F","","1725 BRUCKNER BLVD","1E","10472","","1213105","BRONX","NY","212-958-2680","SCOLTON@AMGGT.COM","","Y","7","7","2009",""
"74","2057","15609368","COLTON","SANAE","Y","","7/13/1986","F","831-77-4720","1725 BRUCKNER BLVD","1","10472","","1213241","BRONX","NY","212-958-2680","","","Y","7","13","1986","0.6735225"
"75","","","","","","","","","","","","","","","","","","","","","","","",""
"76","1093","15385905","ARNADOPOULOS","CATHY","A","","10/9/2013","F","","1345 SOUTHERN BLVD","2K","10459","","4754477","BRONX","NY","610-529-7366","","","A","10","9","2013",""
"77","2639","15541263","ARNADOPOULOS","CATHY","A","","12/5/1984","F","","1345 SOUTHERN BLVD","2K","10459","","4754466","BRONX","NY","610-529-7366","CARNADOPOULOS@AMGGT.COM","","A","12","5","1984","0.6719733"
"78","","","","","","","","","","","","","","","","","","","","","","","",""
"79","1261","15480311","THOMAS","ANALICIA","ELEANORE","","2/9/1990","F","887-79-1879","1272 WEBSTER AVE","14B","10456","SMITH"," 845409","BRONX","NY","551-936-2123","ATHOMAS@AMGGT.COM","","E","2","9","1990",""
"80","2803","15925667","THOMAS","CONSTANZIA","ELEANORE","","2/9/1990","F","","127072 WEBSTER AVE","14D","10456",""," 844039","BRONX","NY","","","","E","2","9","1990","0.6717872"
"81","","","","","","","","","","","","","","","","","","","","","","","",""
"82"," 836","15599380","FIELDS","ESTELLA","LORNA","","6/8/1949","F","","1915 CROTONA AVE","3","10457","ROBINSON","4749600","BRONX","NY","518-369-1650","EFIELDS@AMGGT.COM","","L","6","8","1949",""
"83","2385","15768439","FIELDS","ESTELLA","LRRNA","","10/21/1920","F","845-77-0828","1915 CROTONA AVE","3","10457","","4749619","BRONX","NY","518-369-1650","","","L","10","21","1920","0.6717189"
"84","","","","","","","","","","","","","","","","","","","","","","","",""
"85","1392","15452332","ANAYA","CRIWTINA","GERTRUD","","11/29/1959","F","","1103 E 34TH ST","4E","11210","","4767700","BROOKLYN","NY","929-391-4905","","","G","11","29","1959",""
"86","2924","15853635","ANAYA","CRISTINA","GERTRUD","","11/29/1969","F","884-62-0647","2450 NOSTRAND AVE","","11210","","4767707","BROOKLYN","NY","929-391-4905","CANAYA@AMGGT.COM","","G","11","29","1969","0.6713897"
"87","","","","","","","","","","","","","","","","","","","","","","","",""
"88"," 223","15922264","SCHALLER","RAMON","EUGENE","","12/11/1997","M","881-36-5227","9324 210TH PL","PH","11428","","1053685","QUEENS VLG","NY","518-130-4297","","","E","12","11","1997",""
"89","1776","15926687","SCHALLER","RAMON","EUGENE","","10/6/2015","M","","9324 210TH PL","PH","11428","","1053800","QUEENS VLG","NY","518-130-4297","","","E","10","6","2015","0.6707594"
"90","","","","","","","","","","","","","","","","","","","","","","","",""
"91"," 498","15698818","MATTEO","ROBERT","JOHN","","12/30/1970","M","803-53-8334","1184 CROMWELL AVE","1L","10452","","4802956","BRONX","NY","631-402-6380","","","J","12","30","1970",""
"92","2050","15839313","MATTEO","ROBERT","JOHN","","12/30/1962","M","","1184 CROMWELL AVE","1 L","10452","","4802951","BRONX","NY","203-119-8352","","","J","12","30","1962","0.6699895"
"93","","","","","","","","","","","","","","","","","","","","","","","",""
"94"," 153","15547678","DORSEY","NELLIE","LISA","","10/10/2003","F","","1595 E 174TH ST","8G","10472","","4764542","BRONX","NY","860-383-3844","","","L","10","10","2003",""
"95","1707","15782394","DORSEY","NELLIE","LISA","","12/28/1975","F","","1595 E 174TH ST","8G","10472","","4764536","BRONX","NY","860-383-3844","","","L","12","28","1975","0.6695488"
"96","","","","","","","","","","","","","","","","","","","","","","","",""
"97"," 626","15402152","HERRERAFLORES","YAZMID","IVETH","","10/3/1980","F","884-14-8150","510 E 146TH ST","5B","10455","","4771660","BRONX","NY","516-659-6837","","","I","10","3","1980",""
"98","2177","15580139","HERRERAFLORES","YAZMID","IVETH","","4/24/2004","F","","510 E 146TH ST","5B","10455","","4771673","BRONX","NY","516-659-6837","YHERRERAFLORES@AMGGT.COM","","I","4","24","2004","0.6688952"
"99","","","","","","","","","","","","","","","","","","","","","","","",""
"100"," 303","15845213","FLETCHER","CHARNETTA","DENISE","","10/9/1967","F","838-11-9646","2845 8TH AVE","1B","10039","","1212107","NEW YORK","NY","862-566-5211","","","D","10","9","1967",""
"101","1857","15938999","FLETCHER","CHARNETTA","DENISE","","7/14/2006","F","","2845 8TH AVE","1B","10039","","1212223","NEW YORK","NY","862-566-5211","CFLETCHER@AMGGT.COM","","D","7","14","2006","0.6682202"
"102","","","","","","","","","","","","","","","","","","","","","","","",""
"103"," 705","15503232","NEMEC","LARRY","L","","8/23/1966","M","","115 LINCOLN RD","5M","11225","","4765249","BROOKLYN","NY","860-169-3600","LNEMEC@AMGGT.COM","","L","8","23","1966",""
"104","2255","15943238","NEMEC","LARRY","L","","10/4/1970","M","823-26-4009","115 LINCOLN RD","5N","11225","","4765245","BROOKLYN","NY","860-169-3600","","","L","10","4","1970","0.6670758"
"105","","","","","","","","","","","","","","","","","","","","","","","",""
"106","  59","15597516","SHERBURNE","ALICIA","CAROL","","12/6/1986","F","818-42-6283","269 E 194TH ST","2B","10458","","4762456","BRONX","NY","860-300-7463","","","C","12","6","1986",""
"107","1614","15649001","SHERBURNE","ALICIA","CAROL","","10/1/2005","F","","269 E 194TH ST","2B","10458","","4762476","BRONX","NY","860-300-7463","","","C","10","1","2005","0.6660330"
"108","","","","","","","","","","","","","","","","","","","","","","","",""
"109"," 628","15767783","LARA","MARIA","ROSEMARIE","","9/8/1993","F","","658 SOUTHERN BLVD","2F","10455","","4768448","BRONX","NY","","","","R","9","8","1993",""
"110","2179","15877827","LARA","MARIA","ROSDMARIE","","9/9/1993","F","","658 SOUTHERN BLVD","2F","10455","","4768433","BRONX","NY","347-268-8522","","","R","9","9","1993","0.6650546"
"111","","","","","","","","","","","","","","","","","","","","","","","",""
"112"," 226","15578523","SMITH","DAVID","CLARENCE","","12/19/1947","M","","660 MACE AVE","CB","10467","","4754964","BRONX","NY","732-918-7605","","","C","12","19","1947",""
"113","1779","15816916","SMITH","DAVID","C","","10/27/1920","M","806-05-4086","660 MACE AVE","BSMT","10467","","4754966","BRONX","NY","732-918-7605","","","C","10","27","1920","0.6636808"
"114","","","","","","","","","","","","","","","","","","","","","","","",""
"115","1468","15619314","SALVADOR","VANESSA","DIANNE","","12/25/1960","F","820-03-7937","3604 OLINVILLE AVE","3B","10467","","4794510","BRONX","NY","347-530-9964","VSALVADOR@AMGGT.COM","","D","12","25","1960",""
"116","2994","15703518","SALVADOR","VANGSSA","DIANNE","","12/25/1950","F","","2815 GRAND CONCOURSE","B22","10468","","4794530","BRONX","NY","347-530-9964","","","D","12","25","1950","0.6634993"
"117","","","","","","","","","","","","","","","","","","","","","","","",""
"118"," 631","15867204","MERCURIO","LORETTA","RACQUEL","","10/1/1920","F","841-86-6044","1050 ANDERSON AVE","2G","10452","","4752314","BRONX","NY","973-499-6775","","","R","10","1","1920",""
"119","2182","15875667","MERCURIO","LORETTA","RACQUEL","","3/6/1948","F","","1050 ANDERSON AVE","26","10452","","4752310","BRONX","NY","973-499-6775","","","R","3","6","1948","0.6623615"
"120","","","","","","","","","","","","","","","","","","","","","","","",""
"121"," 451","15430234","OSOIMALO","CRISTINA","","","12/12/1933","F","828-90-4972","251 E 29TH ST","1D","11226","","4790589","BROOKLYN","NY","718-845-2862","","","","12","12","1933",""
"122","2003","15892670","OSOIMALO","CRISTINA","","","12/12/1935","F","894-32-4272","251 E 29TH ST","1D","11226","","4790603","BROOKLYN","NY","518-248-4904","","","","12","12","1935","0.6622380"
"123","","","","","","","","","","","","","","","","","","","","","","","",""
"124"," 704","15745674","ZARAGOZA","JULIE","JESSICA","","10/17/1989","F","863-77-0541","3233 101ST ST","PH","11369","","4771300","EAST ELMHURST","NY","732-596-6649","","","J","10","17","1989",""
"125","2254","15952444","ZARAGOZA","JULIE","JESSICA","","4/15/2007","F","","3233 101ST ST","PH","11369","","4771295","EAST ELMHURST","NY","732-596-6649","","","J","4","15","2007","0.6617793"
"126","","","","","","","","","","","","","","","","","","","","","","","",""
"127"," 849","15873704","SCHALLER","BRANDON","PHILLIP","","10/16/1987","M","805-33-8627","53 SHOREVIEW DR","4","10710","","4765029","YONKERS","NY","570-228-4417","","","P","10","16","1987",""
"128","2398","15896799","SCHALLER","BRANDON","PHILLIP","","8/12/2010","M","","53 SHOREVIEW DR","4","10710","","4765018","YONKERS","NY","570-228-4417","BSCHALLER@AMGGT.COM","","P","8","12","2010","0.6617792"
"129","","","","","","","","","","","","","","","","","","","","","","","",""
"130","1529","15509708","STRATIFADE","PATRICIA","J","","12/16/2015","F","","20 W MOSHOLU PKWY S","22F","10468","","4765617","BRONX","NY","516-773-2691","","","J","12","16","2015",""
"131","3060","15532273","STRATIFADE","PATROCIA","J","","10/4/1989","F","872-78-8625","20 W MOSHOLU PKWY S","22F","10468","","4765609","BRONX","NY","516-773-2691","","","J","10","4","1989","0.6599976"
"132","","","","","","","","","","","","","","","","","","","","","","","",""
"133"," 448","15474132","FASIL","HABEN","F","","10/17/1991","F","867-56-9323","1830 UYSE AVE","DD","10460","","4753508","BRONX","NY","609-987-6119","","","F","10","17","1991",""
"134","2000","15784096","FASIL","HABEN","FAITH","","6/3/2011","F","","1830 VYSE AVE","DD","10460","","4753504","BRONX","NY","609-987-6119","","","F","6","3","2011","0.6592804"
"135","","","","","","","","","","","","","","","","","","","","","","","",""
"136"," 314","15389300","GLEATON","DEBORAH","NATALIE","","3/23/1989","F","","1 LEFRAK CITY PLZ","","11368","","4775152","FLUSHING","NY","929-278-6604","","","N","3","23","1989",""
"137","1867","15558547","GLEATON","DEBORAH","NATALIE","","10/2/1966","F","891-74-2637","1 LEFRAK CITY PLZ","","11368","","4775159","FLUSHING","NY","929-278-6604","","","N","10","2","1966","0.6592027"
"138","","","","","","","","","","","","","","","","","","","","","","","",""
"139","  21","15426084","CUTRONE","CRISTINA","","","5/30/1980","F","821-66-9239","2197 CRUGER AVE","A10","10462","","4806872","BRONX","NY","973-743-2994","","","","5","30","1980",""
"140","1576","15521208","CYRRONE","CRISTINA","","","5/30/1990","F","821-96-9239","2197 CRUGER AVE","A10","10462","","4806868","BRONX","NY","","","","","5","30","1990","0.6592013"
"141","","","","","","","","","","","","","","","","","","","","","","","",""
"142","1069","15501582","SMITH","PAUL","EDWARD","","12/10/1926","M","817-40-4385","220 LENOX AVE","1A","10027","","4809652","NEW YORK","NY","862-124-2750","","","E","12","10","1926",""
"143","2616","15949120","SMITH","PAUL","","","12/10/1936","M","847-40-4887","220 LENOX AVE","1A","10027","","4809665","NEW YORK","NY","","","","","12","10","1936","0.6590334"
"144","","","","","","","","","","","","","","","","","","","","","","","",""
"145"," 381","15616213","SPRIGGLE","BILL","C","","10/26/1920","M","858-93-8558","2665 GRANDCOURSE","8C","10468","","1114274","BRONX","NY","973-792-4152","","","C","10","26","1920",""
"146","1933","15911289","SPRIGGLE","BILL","CLYDE","","9/5/1943","M","","2665 GRAND CONC","8C","10468","","1114159","BRONX","NY","973-792-4152","BSPRIGGLE@AMGGT.COM","","C","9","5","1943","0.6585449"
"147","","","","","","","","","","","","","","","","","","","","","","","",""
"148"," 461","15485607","KELLEHER","CURTIS","","II","4/23/1979","M","800-64-8844","603 MORRIS AVE","","10451","","4886105","BRONX","NY","973-635-9679","","CORT  KELLEHER","","4","23","1979",""
"149","2013","15597579","KELLEHER","CURTIS","","","4/23/1989","M","","603 MORRIS AVE","4E","10451","","4886101","BRONX","NY","973-635-9679","","CURTIS KELLEHER","","4","23","1989","0.6583850"
"150","","","","","","","","","","","","","","","","","","","","","","","",""
"151"," 777","15435288","SALLACH","ALEJANDRO","GARY","","12/3/2011","M","","201 OCEAN PKWY","1D","11218","MCNALLY","4771592","BROOKLYN","NY","848-789-7943","ASALLACH@AMGGT.COM","","G","12","3","2011",""
"152","2327","15444428","SALLACH","ALEJANDRO","G","","10/26/1989","M","887-96-8432","201 OCEAN PKWY","1D","11218","","4771601","BROOKLYN","NY","848-789-7943","","","G","10","26","1989","0.6578983"
"153","","","","","","","","","","","","","","","","","","","","","","","",""
"154"," 436","15472064","SMITH","MICHELLE","","","12/6/1962","F","","295 WADSWORTH AVE","4G","10040","","4806401","NEW YORK","NY","570-717-6929","MSMITH@AMGGT.COM","","","12","6","1962",""
"155","1988","15832165","SMITH","MICHELLE","","","12/6/1977","F","866-48-3979","295 WADSWORTH AVE","4E","10040","","4806406","NEW YORK","NY","570-717-6929","","","","12","6","1977","0.6547087"
"156","","","","","","","","","","","","","","","","","","","","","","","",""
"157"," 300","15557271","LE","CALVIN","DONALD","","5/16/1986","M","807-72-5396","13817 233RD ST","PH","11422",""," 990347","ROSEDALE","NY","718-158-2704","","","D","5","16","1986",""
"158","1854","15998998","LE","CALVIN","DONALD","","10/15/1959","M","","13817 233RD ST","","11422",""," 990372","ROSEDALE","NY","718-158-2704","","","D","10","15","1959","0.6541516"
"159","","","","","","","","","","","","","","","","","","","","","","","",""
"160","1362","15701357","BONNET","DAWT","HELEN","","12/11/1991","F","","600 TIMPSON PL","6 H","10455","MICHELS"," 816580","BRONX","NY","917-614-2724","DBONNET@AMGGT.COM","","H","12","11","1991",""
"161","2894","16017204","BONNET","ALEXA","HELEN","","12/11/1991","F","841-68-1761","600 TIMPSON PL","6H","10455",""," 790661","BRONX","NY","","","","H","12","11","1991","0.6536416"
"162","","","","","","","","","","","","","","","","","","","","","","","",""
"163"," 234","15413035","JOHNSON","LEWIS","AARON","","10/13/1982","M","860-09-7995","557 W 140TH ST","4B","10031","","4775468","NEW YORK","NY","929-293-3035","","","A","10","13","1982",""
"164","1788","15525002","JOHNSON","LEWIS","AARON","","8/5/2011","M","","557 W 140TH ST","4B","10031","","4775459","NEW YORK","NY","929-293-3035","LJOHNSON@AMGGT.COM","","A","8","5","2011","0.6535416"
"165","","","","","","","","","","","","","","","","","","","","","","","",""
"166"," 207","15420978","PARK","MATTHEW","L","","10/3/2013","M","","320 E 197TH ST","IF","10458","","4784627","BRONX","NY","860-764-9879","","","L","10","3","2013",""
"167","1760","15885075","PARK","MATTHEW","L","","12/19/1990","M","891-33-7124","320 E 197TH ST","1F","10458","","4784636","BRONX","NY","860-764-9879","MPARK@AMGGT.COM","","L","12","19","1990","0.6532411"
"168","","","","","","","","","","","","","","","","","","","","","","","",""
"169"," 624","15860198","RUTLEDGE","JANICE","L","","5/10/1954","F","","19 BROOKSIDE AVE","PH","10803","","1365436","PELHAM","NY","862-291-4988","","","L","5","10","1954",""
"170","2175","15907464","RUTLEDGE","JANICE","L","","10/20/1993","F","","19 BROOKSIDE AVE","","10803","","1365328","PELHAM","NY","862-291-4988","","","L","10","20","1993","0.6530878"
"171","","","","","","","","","","","","","","","","","","","","","","","",""
"172"," 862","15638666","LYLE","BARBARA","B","","10/7/1947","F","","650 ROSEDALE AVE","PH","10473","","1134673","BRONX","NY","347-901-1718","","","B","10","7","1947",""
"173","2412","15706616","LYLE","BARBARA","B","","5/6/1973","F","888-10-3094","536 CALHOUN AVE","PH","10465","","1134395","BRONX","NY","347-901-1718","","","B","5","6","1973","0.6525196"
"174","","","","","","","","","","","","","","","","","","","","","","","",""
"175"," 418","15494557","ESTELLE","ZACHARY","CURTIS","","10/12/2007","M","","35 W 131ST ST","8","10037","","4779220","NEW YORK","NY","203-319-7073","","","C","10","12","2007",""
"176","1970","15525049","ESTELLE","ZACHARY","JUAN","","10/12/2002","M","","35 W 131ST ST","3C","10037","","4779226","NEW YORK","NY","203-319-7073","","","J","10","12","2002","0.6513898"
"177","","","","","","","","","","","","","","","","","","","","","","","",""
"178"," 495","15611400","PHILLIPS","ERIK","JOHN","","8/17/1923","M","","347 CONVENT AVE","B","10031","","4772863","NEW YORK","NY","267-737-8800","","","J","8","17","1923",""
"179","2047","15745947","PHILLIPS","ERIK","ROHN","","10/21/1942","M","","347 CONVENT AVE","B","10031","","4772882","NEW YORK","NY","267-737-8800","","","R","10","21","1942","0.6510949"
"180","","","","","","","","","","","","","","","","","","","","","","","",""
"181"," 771","15770581","HUBBARD","SAMANTHA","A","","2/6/1973","F","","712 FOX ST","4 G","10455","","4760719","BRONX","NY","908-206-2262","","","A","2","6","1973",""
